,station_id,Review,accessibility and availability_positive,amenities and location_positive,charging speed and efficiency_positive,compatibility and connectivity_positive,customer service_positive,ease of use_positive,payment Options_positive,price and cost_positive,queue and waiting time_positive,reliability and maintenance_positive,safety_positive,user-interface and mobile app_positive,accessibility and availability_negative,amenities and location_negative,charging speed and efficiency_negative,compatibility and connectivity_negative,customer service_negative,ease of use_negative,payment Options_negative,price and cost_negative,queue and waiting time_negative,reliability and maintenance_negative,safety_negative,user-interface and mobile app_negative
323,153,Located conveniently off of I10. Able to drive direct from Birmingham AL in MS refresh long range. Plenty of food places nearby.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941,929,"It's free 🙂 all you need to do is install the app.
Be weaned this is not a level 3 charger and may take longer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11906,3567,Only one charger on base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8705,4081,Quick. Simple. And  charging was superfast!!,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11161,2394,Only one charger working (and was being used by another Tesla). a reviewer on plugshare said this was an issue last Fall. Feel like hotel doesnt care enough to get it fixed. Wont stay here again.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9115,4318,"It's nice having another supercharger (an Oasis in a desert really) in the city. But I've never gotten over 85kw, even on a 250kw charger. So don't expect to be in and out. Try to come in off peak for better results? Good luck!",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4017,1862,"Chargepoint charger has a dual mode plug that has 5-pin and 2-pin, which are so close to each other that the Tesla to 5-pin adapter doesn't insert at all.  See picture.  Only one port available.  Otherwise great location for non-Tesla vehicles.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2879,1372,Great one. Bathrooms 24/7. Love Buc-ee's,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9465,14,This location is the worst! The parking lot is always full because it’s inside the lot of the hotel. Very busy since it’s the closest location to DIA. It’s also filthy here. The parking spots always have trash and spilled food or drinks. The charging is also very slow here no matter the stall.  Do better Tesla.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8275,3868,Clean. Safe. Good food and shopping nearby. Usually there is a space to charge right away.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8583,4020,"Awesome location with tons of things within walking distance. There's plenty of food and drink options and enough open into the evening for washrooms too. After 9 it becomes more complicated, and I'd love to see windshield cleaning supplies nearby, but this is still a great charging spot.

250kW super reliable charging as usual, and near enough to the highway too for those passing through on a road trip.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10395,1268,"Unfortunately, our car can only take a 3.6kw charge making this power almost 50 cents per kWh.

It would be nice if it was cheaper per hour or based on a kwh basis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6773,3152,Easy access and seldom full plus it's in a shopping mall so there's plenty to do while you're charging.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5497,2564,Nice place to charge. Can get very busy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10183,1013,Bad app and company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1888,902,Working great! DC fast charging can charged at 41 kw.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3142,1485,"Sloooooow charger but good location. Says it's supposed to be 250kw but peaks at 70kw even though there's only 3 teslas here and we are all parked apart from each other.

Update: 1a gets around 160 kw but drops in kw the more you charge",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,1000,The Collin Street bakery has good soup. They also have clean restrooms. There are eight charging stations and we got a fast charging rate.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4925,2290,"Great speed, right off the highway, but bathroom is in the far back of a grocery store and it feels like you’re invading the employees’ break area.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4281,1985,"Frequently use this charger when visiting North Bay on weekends. Quick charge, in a mall parking lot with Starbucks and other places near by. Grass by supercharger to give your dogs a potty break too.",0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8141,3796,Quite a few open truck spots night time but for days is good place clean washrooms and have burger king and starbucks. Electric charging station also available,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3937,1831,Close to the courthouse.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10,"Wow, the time is now,go shopping and charge your car..should have built it at least 2 times the size.. I'll still give it 5 stars anyway..",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,973,"Right near a Dunkin’ Donuts and liquor store. The charger itself is quite expensive, though.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
504,256,"There is an EV Connect in this area, it's one block north and one block west of the White Castle, near the Home Depot. On the map it's just behind the Pizza hut.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,304,"I took a road trip to check out EV charging stations to see if my wife's new car should be an EV.  The answer an EV is not practical in Southern New England. Far too many charging stations like this one are out of order.  Some chargers along route 24 are vandalized with missing charging cables, others are out of order.
We ended up trading in my wife's 2011 toyota corolla S with 150k miles got $5500 for it and bought a 2022 Nissan Kicks SR w/Premium package. No worries for our road trips.  We have our Wrangler and our Kicks. Can ""recharge"" both to over.a 340 mile.range in 3 minutes.  Range does not degrade over time.  That's more practical for us.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3193,1515,This charger is currently not working at all (august 2022). It has green lights blinking but does not charge the car. As it used to show up on the charge point map I called them. They said this charger is not connected to them. The guys in the hotel lobby are very nice but have no clue what to do or whom to call.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8243,3853,Jaguar I-Pace added 40 kWh in 40 minutes. Worked great no issues.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10462,1345,Don’t work always down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12369,4382,It is ridiculous that charger switches off after 1 hour when the car was only 34% charged. EVGO said this is usual for their “Fast” chargers. For the next person it switched off after 23 minutes. Also it was incredibly slow and nowhere near 50KWH. I was charged over $13 to charge from 24% to 34%. This was all the charger managed in 1 hour.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6133,2849,"This charger gets the job done if you absolutely need it. It's slower and a lot more expensive than your typical Tesla charger.

One of the stalls at this location wasn't responsive also.

And lastly, the experience of signing up with their app was pretty awful. I signed up for an account and they gave me a code that never worked. I had to use a Guest Code via my browser because the app would not register.

I think Blink has a lot of work to do, but their service has potential.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9273,4412,Fast and easy to use.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9260,4405,"Drive up
Charge
Pull out",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10305,1148,"Other than the occasional a-hole destroying a screen or charger port, it's great.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10614,1587,Both outlets are broken.   One has bare wires exposed near the charging handle.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5048,2342,"Love the Lee, MA. Supercharger.  Eight new, fast chargers, including my favorite, the nose-first stall 1.
Went to Jacob's Pillow Dance Festival this month.  The Lee SC was perfectly located between our hotel, the venue, local restaurants and shopping and just yards from the I-90 interchange.
It's in the parking lot for the Big Y supermarket.  I got fresh, nutritious snacks to eat for my brief charging stops and stocked up on food for the drive back to Philly. Great store.
So take your Tesla to the Berkshires and enjoy this beautiful part of the U.S. with the convenience of easy charging.  There are multiple SCs on the primary routes from NY, NJ, MA. (August, 2017)",1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3653,1710,"No issues charging my truck here. Did see some typical Walmart stuff going on, but it didn’t affect me in any way.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2994,1421,"Clean and quick, smart placement.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,20,Good spot next to the interstate.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8062,3757,"This charging station actually cemented my decision to buy an electric car as it's not far from where I work. It has both level 2 and 3 chargers. It's in a safe location (I actually spent the night here once).
I just wish there were more charging stations in general as EV's are the future.",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
431,213,"Very fast, plenty of stalls and all kinds of retail businesses very close.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10345,1197,Fast charger doesn't work. I even call the customer service line and they couldn't get the charger on. Very disappointing that they don't service these regularly or know when they are out of service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2159,1033,Best charge location in Houston.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3260,1540,Nicely lighted during the night. Conveniently next to the freeway as well.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1933,925,New set of chargers in Frederick in the new Sheetz station. Not the easiest charger to get to especially if you are towing a trailer. We were able to use the pull-in charger so we did not have to unhook the trailer.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1352,640,"Location for supercharger isn't ideal. There isn't much to do while charging the car. The chargers are fast, though.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9494,47,"Still out of order as of August 21, 2022.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7547,3509,"Good station...DC fast worked well.  Shopped at Wally World...roamed around, had a snack from my frunk.  I was back on the road at 85% within a half hour.  Great option if you're coming from the middle of NC to the Richmond, VA area.",0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9078,4295,It seems that EA finally got it right. These are newer stations and work well. The app worked as advertised. If only my Bolt had a faster charger...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,962,"Clean, well lit, chargers always available.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3661,1714,"Tri-State Nissan on Rt 50 just east of Winchester. Have a Chademo for the Nissan Leaf and Teslas with the adapter. Also a Level 2. Updated the Chademo last fall to a new unit. Very nice dealership, super friendly staff.",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5432,2529,Convenient for anyone with an electric vehicle who works at or is visiting Geisinger.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7552,3511,Love the retro Dennys next door,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6992,3241,I've never had an issue here. Being in the same parking lot as a 24/7 grocery store is really nice.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10796,1853,Not a single charger works.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5357,2485,The West Bay Beach resort had executed this charging station associated with their hotel very well. There are 3 Tesla High Power Wall Chargers and 1 ClipperCreek Level 2 charger in a parking lot island away from the hotel entrance with clear EV-only signage.  It's free to use for hotel guests. Please check with the reception if not staying at the hotel.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5417,2521,"Well lit and perfect location with food and shopping in Turkey Creek area. Right off the highway , good pit stop for gas or electric charge",1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
